Date;1 Week;2 Weeks;1 Month;2 Months;3 Months;6 Months;9 Months;12 Months;EONIA;Inflation;Real_GDP_growth
6-2-2004;0.03;0.04;0.04;0.05;0.05;0.06;0.04;0.04;2.02;1.5;1.217136664
9-2-2004;0.03;0.03;0.04;0.05;0.05;0.04;0.02;0.04;2.02;1.5;1.217136664
10-2-2004;0.03;0.03;0.04;0.06;0.05;0.05;0.03;0.04;2.02;1.5;1.217136664
11-2-2004;0.03;0.03;0.04;0.05;0.05;0.06;0.04;0.06;2.02;1.5;1.217136664
12-2-2004;0.03;0.05;0.04;0.05;0.05;0.04;0.02;0.04;2.02;1.5;1.217136664
13-2-2004;0.02;0.04;0.04;0.05;0.05;0.05;0.03;0.04;2.02;1.5;1.217136664
16-2-2004;0.03;0.04;0.06;0.07;0.06;0.06;0.06;0.06;2.02;1.5;1.217136664
17-2-2004;0.02;0.04;0.06;0.06;0.06;0.06;0.05;0.04;2.02;1.5;1.217136664
18-2-2004;0.04;0.07;0.06;0.07;0.06;0.07;0.05;0.05;2.02;1.5;1.217136664
19-2-2004;0.04;0.06;0.06;0.07;0.06;0.05;0.06;0.05;2.02;1.5;1.217136664
20-2-2004;0.04;0.05;0.06;0.06;0.06;0.05;0.05;0.04;2.04;1.5;1.217136664
23-2-2004;0.05;0.05;0.05;0.05;0.05;0.06;0.07;0.05;2.05;1.5;1.217136664
24-2-2004;0.04;0.04;0.04;0.04;0.04;0.05;0.03;0.04;2.05;1.5;1.217136664
25-2-2004;0.04;0.04;0.04;0.04;0.04;0.05;0.04;0.06;2.05;1.5;1.217136664
26-2-2004;0.04;0.04;0.04;0.05;0.04;0.06;0.03;0.04;2.05;1.5;1.217136664
27-2-2004;0.04;0.04;0.04;0.04;0.04;0.07;0.04;0.03;2.06;1.5;1.217136664
1-3-2004;0.03;0.03;0.05;0.04;0.03;0.03;0.03;0.03;2.04;1.5;1.217136664
2-3-2004;0.03;0.03;0.05;0.05;0.04;0.06;0.04;0.03;2.03;1.5;1.217136664
3-3-2004;0.04;0.05;0.05;0.04;0.04;0.05;0.02;0.03;1.99;1.5;1.217136664
4-3-2004;0.14;0.04;0.05;0.05;0.05;0.05;0.04;0.03;1.88;1.5;1.217136664
5-3-2004;0.05;0.05;0.05;0.05;0.05;0.05;0.04;0.04;1.84;1.5;1.217136664
8-3-2004;0.03;0.04;0.05;0.04;0.04;0.04;0.06;0.1;1.9;1.5;1.217136664
9-3-2004;0.03;0.03;0.05;0.04;0.04;0.03;0.05;0.09;1.99;1.5;1.217136664
10-3-2004;0.03;0.03;0.05;0.04;0.04;0.02;0.03;0.04;2.02;1.5;1.217136664
11-3-2004;0.03;0.03;0.05;0.03;0.03;0.03;0.05;0.04;2.02;1.5;1.217136664
12-3-2004;0.03;0.04;0.05;0.04;0.04;0.03;0.04;0.05;2.02;1.5;1.217136664
15-3-2004;0.03;0.04;0.05;0.05;0.04;0.05;0.04;0.06;2.02;1.5;1.217136664
16-3-2004;0.04;0.06;0.05;0.04;0.04;0.05;0.04;0.05;2.01;1.5;1.217136664
17-3-2004;0.04;0.07;0.05;0.04;0.05;0.05;0.05;0.04;2.01;1.5;1.217136664
18-3-2004;0.04;0.06;0.05;0.05;0.04;0.06;0.06;0.03;2;1.5;1.217136664
19-3-2004;0.04;0.06;0.06;0.06;0.06;0.08;0.06;0.05;2;1.5;1.217136664
22-3-2004;0.03;0.06;0.04;0.05;0.06;0.06;0.05;0.04;2.01;1.5;1.217136664
23-3-2004;0.06;0.05;0.04;0.04;0.05;0.05;0.03;0.03;2.03;1.5;1.217136664
24-3-2004;0.05;0.05;0.05;0.05;0.05;0.05;0.04;0.04;2.05;1.5;1.217136664
25-3-2004;0.06;0.07;0.07;0.06;0.08;0.07;0.07;0.04;2.05;1.5;1.217136664
26-3-2004;0.06;0.06;0.07;0.05;0.05;0.05;0.05;0.04;2.05;1.5;1.217136664
29-3-2004;0.06;0.08;0.06;0.04;0.05;0.04;0.05;0.03;2.06;1.5;1.217136664
30-3-2004;0.05;0.06;0.05;0.05;0.06;0.06;0.03;0.05;2.05;1.5;1.217136664
31-3-2004;0.06;0.05;0.07;1.01;0.07;0.06;0.04;0.03;2.06;1.5;1.217136664
1-4-2004;0.03;0.03;0.03;0.04;0.06;0.05;0.04;1.03;2.02;1.9;-0.431961196
2-4-2004;0.04;0.04;0.03;0.05;0.06;0.05;0.05;0.05;2.02;1.9;-0.431961196
5-4-2004;0.09;0.06;0.05;0.05;0.05;0.04;0.04;0.04;2.26;1.9;-0.431961196
6-4-2004;0.04;0.04;0.07;0.04;0.05;0.05;0.07;0.05;2.75;1.9;-0.431961196
7-4-2004;0.04;0.04;0.04;0.05;0.06;0.05;0.04;0.04;2.04;1.9;-0.431961196
8-4-2004;0.04;0.05;0.04;0.05;0.06;0.04;0.04;0.05;2.04;1.9;-0.431961196
13-4-2004;0.04;0.05;0.04;0.05;0.06;0.06;0.05;0.05;2.04;1.9;-0.431961196
14-4-2004;0.06;0.06;0.05;0.06;0.07;0.07;0.06;0.05;2.03;1.9;-0.431961196
15-4-2004;0.05;0.05;0.05;0.06;0.06;0.06;0.07;0.06;2.03;1.9;-0.431961196
16-4-2004;0.06;0.06;0.06;0.06;0.06;0.06;0.07;0.06;2.03;1.9;-0.431961196
19-4-2004;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;2.02;1.9;-0.431961196
21-4-2004;0.03;0.04;0.05;0.05;0.04;0.03;0.03;0.03;2.02;1.9;-0.431961196
22-4-2004;0.05;0.04;0.05;0.05;0.05;0.04;0.04;0.04;2.02;1.9;-0.431961196
23-4-2004;0.05;0.04;0.05;0.05;0.04;0.04;0.04;0.04;2.02;1.9;-0.431961196
26-4-2004;0.06;0.06;0.05;0.05;0.04;0.02;0.03;0.04;2.03;1.9;-0.431961196
27-4-2004;0.05;0.05;0.05;0.04;0.04;0.03;0.03;0.03;2.03;1.9;-0.431961196
28-4-2004;0.04;0.05;0.05;0.04;0.04;0.04;0.04;0.05;2.04;1.9;-0.431961196
29-4-2004;0.05;0.05;0.05;0.04;0.05;0.04;0.03;0.05;2.04;1.9;-0.431961196
30-4-2004;0.04;0.04;0.05;0.05;0.05;0.05;0.04;0.04;2.06;1.9;-0.431961196
3-5-2004;0.03;2.04;2.04;2.04;2.03;2.03;2.03;2.03;2.04;2.3;-0.431961196
4-5-2004;0.03;2.04;2.04;2.04;2.03;2.02;2.03;2.04;2.04;2.3;-0.431961196
5-5-2004;0.03;0.04;0.04;0.05;0.05;0.05;1.03;0.05;2.04;2.3;-0.431961196
6-5-2004;0.04;0.05;0.05;0.05;0.05;0.05;0.04;0.05;2.03;2.3;-0.431961196
7-5-2004;0.05;0.06;0.05;0.05;0.04;0.05;0.05;0.04;1.83;2.3;-0.431961196
11-5-2004;0.05;0.05;0.05;0.07;0.05;0.04;0.05;0.04;2.07;2.3;-0.431961196
12-5-2004;0.05;0.05;0.05;0.06;0.06;0.03;0.04;0.05;2.03;2.3;-0.431961196
13-5-2004;0.05;0.05;0.04;0.05;0.05;0.05;0.04;0.04;2.03;2.3;-0.431961196
14-5-2004;0.05;0.05;0.05;0.06;0.05;0.05;0.04;0.05;2.03;2.3;-0.431961196
17-5-2004;0.05;0.05;0.05;0.05;0.05;0.06;0.05;0.04;2.03;2.3;-0.431961196
18-5-2004;0.05;0.05;0.06;0.06;0.06;0.05;0.05;0.05;2.03;2.3;-0.431961196
19-5-2004;0.05;0.05;0.05;0.05;0.05;0.05;0.04;0.03;2.02;2.3;-0.431961196
20-5-2004;0.05;0.05;0.05;0.05;0.05;0.05;0.04;0.04;2.02;2.3;-0.431961196
21-5-2004;0.06;0.05;0.05;0.05;0.05;0.04;0.05;0.04;2.03;2.3;-0.431961196
24-5-2004;0.05;0.06;0.05;0.05;0.05;0.04;0.04;0.12;2.03;2.3;-0.431961196
25-5-2004;0.05;0.06;0.05;0.05;0.05;0.04;0.04;0.03;2.03;2.3;-0.431961196
26-5-2004;0.06;0.06;0.05;0.05;0.05;0.04;0.03;0.04;2.03;2.3;-0.431961196
27-5-2004;0.06;0.06;0.05;0.05;0.05;0.04;0.04;0.05;2.03;2.3;-0.431961196
28-5-2004;0.06;0.06;0.05;0.05;0.05;0.04;0.04;0.07;2.04;2.3;-0.431961196
31-5-2004;0.06;0.06;0.05;0.05;0.05;0.04;0.04;0.06;2.05;2.3;-0.431961196
1-6-2004;0.05;0.06;0.05;0.05;0.05;0.08;0.05;0.05;2.04;2.3;-0.431961196
2-6-2004;0.04;0.04;0.05;0.05;0.04;0.04;0.04;0.04;2.04;2.3;-0.431961196
3-6-2004;0.02;0.02;0.03;0.03;0.02;0.02;0.02;0.02;2.09;2.3;-0.431961196
4-6-2004;0.04;0.04;0.06;0.05;0.04;0.04;0.05;0.04;2.12;2.3;-0.431961196
7-6-2004;0.05;0.05;0.07;0.06;0.05;0.04;0.05;0.04;1.98;2.3;-0.431961196
8-6-2004;0.05;0.05;0.06;0.05;0.04;0.04;0.04;0.04;1.72;2.3;-0.431961196
9-6-2004;0.05;0.04;0.06;0.05;0.05;0.04;0.04;0.04;2.03;2.3;-0.431961196
10-6-2004;0.05;0.05;0.05;0.05;0.04;0.03;0.05;0.06;2.03;2.3;-0.431961196
11-6-2004;0.05;0.05;0.05;0.04;0.03;0.05;0.06;0.06;2.03;2.3;-0.431961196
14-6-2004;0.05;0.05;0.06;0.04;0.04;0.04;0.06;0.04;2.03;2.3;-0.431961196
15-6-2004;0.05;0.07;0.04;0.05;0.05;0.05;0.06;0.05;2.03;2.3;-0.431961196
16-6-2004;0.04;0.07;0.05;0.05;0.05;0.05;0.04;0.04;2.03;2.3;-0.431961196
17-6-2004;0.04;0.08;0.06;0.05;0.06;0.04;0.03;0.32;2.03;2.3;-0.431961196
18-6-2004;0.04;0.06;0.06;0.05;0.06;0.04;0.03;0.04;2.03;2.3;-0.431961196
21-6-2004;0.04;0.06;0.04;0.03;0.05;0.05;0.04;0.03;2.03;2.3;-0.431961196
22-6-2004;0.09;0.06;0.04;0.04;0.05;0.23;0.04;0.04;2.03;2.3;-0.431961196
23-6-2004;0.09;0.06;0.04;0.04;0.05;0.05;0.05;0.06;2.03;2.3;-0.431961196
24-6-2004;0.06;0.05;0.04;0.04;0.05;0.04;0.04;0.07;2.03;2.3;-0.431961196
25-6-2004;0.05;0.05;0.05;0.04;0.05;0.04;0.04;0.05;2.04;2.3;-0.431961196
28-6-2004;0.08;0.06;0.04;0.05;0.06;0.04;0.03;0.03;2.04;2.3;-0.431961196
29-6-2004;0.05;0.05;0.05;0.04;0.05;0.05;0.04;0.05;2.05;2.3;-0.431961196
30-6-2004;0.03;0.04;0.05;0.04;0.05;0.05;0.05;0.04;2.13;2.3;-0.431961196
1-7-2004;0.05;0.04;0.05;0.04;0.05;0.04;0.04;0.05;2.04;2.2;1.7124054
2-7-2004;0.04;0.04;0.05;0.04;0.04;0.04;0.04;0.04;2.04;2.2;1.7124054
5-7-2004;0.03;0.04;0.05;0.04;0.04;0.06;0.06;0.04;2.11;2.2;1.7124054
6-7-2004;0.03;0.04;0.05;0.04;0.04;0.05;0.05;0.05;2.53;2.2;1.7124054
7-7-2004;0.04;0.05;0.05;0.04;0.04;0.06;0.05;0.37;2.04;2.2;1.7124054
8-7-2004;0.03;0.04;0.04;0.05;0.05;0.06;0.05;0.04;2.04;2.2;1.7124054
9-7-2004;0.03;0.04;0.04;0.05;0.05;0.06;0.05;0.05;2.04;2.2;1.7124054
12-7-2004;0.03;0.04;0.04;0.05;0.05;0.06;0.05;0.04;2.04;2.2;1.7124054
13-7-2004;0.03;0.04;0.03;0.04;0.04;0.04;0.04;0.04;2.04;2.2;1.7124054
14-7-2004;0.02;0.02;0.03;0.04;0.04;0.04;0.05;0.04;2.04;2.2;1.7124054
15-7-2004;0.02;0.04;0.03;0.04;0.04;0.04;0.03;0.03;2.04;2.2;1.7124054
16-7-2004;0.02;0.04;0.04;0.04;0.04;0.04;0.04;0.04;2.04;2.2;1.7124054
19-7-2004;0.02;0.04;0.04;0.04;0.04;0.03;0.05;0.05;2.04;2.2;1.7124054
20-7-2004;0.02;0.04;0.04;0.04;0.04;0.04;0.04;0.04;2.04;2.2;1.7124054
21-7-2004;0.02;0.04;0.04;0.05;0.04;0.04;0.04;0.04;2.04;2.2;1.7124054
22-7-2004;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.05;2.04;2.2;1.7124054
23-7-2004;0.04;0.04;0.02;0.04;0.03;0.03;0.02;0.04;2.04;2.2;1.7124054
29-7-2004;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.04;2.05;2.2;1.7124054
30-7-2004;0.02;0.03;0.04;0.04;0.04;0.04;0.04;0.05;2.08;2.2;1.7124054
3-8-2004;0.03;0.03;0.03;0.04;0.04;0.06;0.05;0.05;2.05;2.2;1.7124054
4-8-2004;0.03;0.04;0.04;0.05;0.04;0.05;0.04;0.05;2.05;2.2;1.7124054
5-8-2004;0.05;0.05;0.04;0.04;0.04;0.05;0.03;0.03;2.03;2.2;1.7124054
6-8-2004;0.04;0.04;0.04;0.04;0.05;0.05;0.04;0.04;1.93;2.2;1.7124054
9-8-2004;0.03;0.04;0.04;0.04;0.05;0.04;0.03;0.04;2;2.2;1.7124054
10-8-2004;0.04;0.04;0.04;0.04;0.05;0.04;0.04;0.03;2.16;2.2;1.7124054
11-8-2004;0.03;0.04;0.06;0.06;0.05;0.06;0.06;0.09;2.04;2.2;1.7124054
12-8-2004;0.02;0.02;0.06;0.05;0.05;0.05;0.05;0.04;2.04;2.2;1.7124054
13-8-2004;0.02;0.02;0.06;0.05;0.05;0.05;0.04;0.03;2.04;2.2;1.7124054
16-8-2004;0.02;0.05;0.06;0.05;0.05;0.05;0.04;0.05;2.04;2.2;1.7124054
17-8-2004;0.02;0.05;0.06;0.05;0.04;0.05;0.05;0.04;2.04;2.2;1.7124054
19-8-2004;0.02;0.04;0.05;0.05;0.04;0.04;0.06;0.04;2.04;2.2;1.7124054
20-8-2004;0.02;0.04;0.05;0.04;0.03;0.05;0.04;0.05;2.04;2.2;1.7124054
23-8-2004;0.04;0.04;0.05;0.04;0.03;0.05;0.05;0.04;2.04;2.2;1.7124054
24-8-2004;0.04;0.04;0.05;0.04;0.03;0.04;0.05;0.06;2.04;2.2;1.7124054
25-8-2004;0.03;0.03;0.04;0.04;0.03;0.05;0.05;0.04;2.04;2.2;1.7124054
26-8-2004;0.03;0.03;0.04;0.04;0.03;0.04;0.04;0.04;2.04;2.2;1.7124054
27-8-2004;0.03;0.03;0.04;0.04;0.03;0.04;0.05;0.04;2.04;2.2;1.7124054
30-8-2004;0.03;0.04;0.04;0.04;0.04;0.05;0.04;0.03;2.04;2.2;1.7124054
31-8-2004;0.03;0.03;0.04;0.04;0.03;0.04;0.04;0.04;2.06;2.2;1.7124054
1-9-2004;0.02;0.03;0.04;0.03;0.03;0.03;0.03;0.05;2.04;2;1.7124054
2-9-2004;0.04;0.03;0.04;0.03;0.03;0.04;0.04;0.04;2.02;2;1.7124054
3-9-2004;0.02;0.02;0.04;0.04;0.04;0.05;0.09;0.09;2.01;2;1.7124054
6-9-2004;0.03;0.03;0.03;0.03;0.04;0.06;0.08;0.09;2.16;2;1.7124054
7-9-2004;0.03;0.03;0.03;0.04;0.03;0.03;0.05;0.05;2.17;2;1.7124054
8-9-2004;0.03;0.02;0.03;0.04;0.03;0.03;0.04;0.05;2.05;2;1.7124054
9-9-2004;0.03;0.02;0.04;0.04;0.03;0.03;0.03;0.04;2.04;2;1.7124054
10-9-2004;0.03;0.02;0.04;0.04;0.03;0.02;0.04;0.03;2.04;2;1.7124054
13-9-2004;0.02;0.03;0.03;0.04;0.04;0.04;0.03;0.03;2.04;2;1.7124054
14-9-2004;0.03;0.03;0.04;0.04;0.03;0.04;0.05;0.04;2.04;2;1.7124054
15-9-2004;0.03;0.04;0.04;0.04;0.03;0.03;0.05;0.05;2.04;2;1.7124054
16-9-2004;0.02;0.04;0.03;0.04;0.03;0.03;0.04;0.05;2.04;2;1.7124054
20-9-2004;0.03;0.05;0.04;0.05;0.04;0.05;0.06;0.05;2.04;2;1.7124054
21-9-2004;0.03;0.05;0.04;0.05;0.04;0.03;0.04;0.05;2.04;2;1.7124054
22-9-2004;0.05;0.05;0.05;0.05;0.03;0.03;0.04;0.04;2.04;2;1.7124054
23-9-2004;0.05;0.05;0.05;0.05;0.03;0.04;0.04;0.04;2.04;2;1.7124054
24-9-2004;0.05;0.05;0.05;0.05;0.03;0.02;0.04;0.04;2.04;2;1.7124054
27-9-2004;0.05;0.05;0.05;0.05;0.04;0.04;0.05;0.05;2.04;2;1.7124054
28-9-2004;0.07;0.08;0.08;0.05;0.04;0.03;0.04;0.04;2.04;2;1.7124054
29-9-2004;0.03;0.04;0.05;0.04;0.05;0.04;0.04;0.05;2.04;2;1.7124054
30-9-2004;0.03;0.03;0.05;0.04;0.04;0.04;0.03;0.04;2.09;2;1.7124054
1-10-2004;0.03;0.03;0.04;0.04;0.06;0.04;0.04;0.05;2.05;2.2;-2.063598676
4-10-2004;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.04;2.05;2.2;-2.063598676
5-10-2004;0.05;0.04;0.04;0.03;0.04;0.04;0.05;0.05;2.1;2.2;-2.063598676
6-10-2004;0.07;0.05;0.03;0.03;0.04;0.04;0.04;0.04;2.13;2.2;-2.063598676
8-10-2004;0.04;0.04;0.04;0.03;0.03;0.05;0.05;0.07;2.33;2.2;-2.063598676
11-10-2004;0.03;0.03;0.03;0.03;0.03;0.05;0.04;0.04;2.77;2.2;-2.063598676
12-10-2004;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;2.05;2.2;-2.063598676
13-10-2004;0.03;0.04;0.04;0.03;0.04;0.03;0.03;0.03;2.05;2.2;-2.063598676
14-10-2004;0.02;0.04;0.03;0.03;0.04;0.04;0.02;0.04;2.05;2.2;-2.063598676
15-10-2004;0.02;0.04;0.03;0.03;0.04;0.03;0.03;0.03;2.06;2.2;-2.063598676
18-10-2004;0.02;0.04;0.04;0.03;0.04;0.04;0.04;0.04;2.06;2.2;-2.063598676
19-10-2004;0.02;0.04;0.04;0.03;0.06;0.04;0.03;0.03;2.06;2.2;-2.063598676
20-10-2004;0.02;0.04;0.04;0.03;0.04;0.05;0.05;0.05;2.05;2.2;-2.063598676
21-10-2004;0.05;0.04;0.04;0.03;0.04;0.04;0.04;0.05;2.05;2.2;-2.063598676
22-10-2004;0.05;0.05;0.04;0.04;0.04;0.05;0.05;0.04;2.05;2.2;-2.063598676
25-10-2004;0.04;0.04;0.05;0.04;0.04;0.04;0.05;0.05;2.05;2.2;-2.063598676
26-10-2004;0.04;0.04;0.05;0.04;0.04;3.01;0.05;0.04;2.05;2.2;-2.063598676
27-10-2004;0.05;0.05;0.04;0.04;0.04;0.03;0.04;0.04;2.06;2.2;-2.063598676
29-10-2004;0.04;0.04;0.04;0.08;0.04;0.05;0.05;0.02;2.09;2.2;-2.063598676
1-11-2004;0.03;0.03;0.03;0.04;0.04;0.04;0.03;0.04;2.06;2.2;-2.063598676
2-11-2004;0.04;0.03;0.04;0.05;0.04;0.04;0.04;0.03;2.06;2.2;-2.063598676
3-11-2004;0.04;0.04;0.05;0.04;0.04;0.04;0.03;0.03;2.13;2.2;-2.063598676
4-11-2004;0.07;0.05;0.05;0.05;0.04;0.04;0.06;0.04;2.24;2.2;-2.063598676
5-11-2004;0.04;0.04;0.05;0.1;0.05;0.06;0.06;0.05;2.12;2.2;-2.063598676
9-11-2004;0.04;0.03;0.05;0.04;0.04;0.04;0.03;0.03;2.06;2.2;-2.063598676
10-11-2004;0.03;0.03;0.05;0.04;0.04;0.04;0.03;0.04;2.07;2.2;-2.063598676
11-11-2004;0.03;0.04;0.05;0.1;0.07;0.05;0.03;0.07;2.07;2.2;-2.063598676
12-11-2004;0.03;0.03;0.03;0.04;0.04;0.04;0.05;0.07;2.08;2.2;-2.063598676
15-11-2004;0.03;0.04;0.04;0.05;0.04;0.04;0.03;0.06;2.08;2.2;-2.063598676
16-11-2004;0.03;0.05;0.03;0.05;0.04;0.04;0.04;0.03;2.08;2.2;-2.063598676
17-11-2004;0.02;0.04;0.05;0.05;0.04;0.04;0.04;0.03;2.08;2.2;-2.063598676
18-11-2004;0.03;0.04;0.04;0.05;0.04;0.05;0.05;0.03;2.07;2.2;-2.063598676
19-11-2004;0.03;0.04;0.03;0.05;0.04;0.05;0.05;0.04;2.07;2.2;-2.063598676
22-11-2004;0.04;0.05;0.04;0.05;0.04;0.05;0.04;0.03;2.08;2.2;-2.063598676
23-11-2004;0.04;0.05;0.04;0.04;0.03;0.05;0.04;0.04;2.08;2.2;-2.063598676
24-11-2004;0.04;0.05;0.04;0.05;0.04;0.04;0.02;0.04;2.08;2.2;-2.063598676
25-11-2004;0.04;0.05;0.05;0.05;0.04;0.03;0.04;0.05;2.08;2.2;-2.063598676
26-11-2004;0.03;0.05;0.03;0.05;0.04;0.03;0.04;0.05;2.08;2.2;-2.063598676
29-11-2004;0.03;0.03;0.06;0.04;0.04;0.02;0.03;0.04;2.08;2.2;-2.063598676
30-11-2004;0.03;0.04;0.04;0.04;0.04;0.02;0.04;0.05;2.1;2.2;-2.063598676
1-12-2004;0.03;0.04;0.05;0.05;0.05;0.03;0.04;0.05;2.05;2.2;-2.063598676
2-12-2004;0.04;0.05;0.05;0.05;0.05;0.03;0.04;0.04;1.89;2.2;-2.063598676
3-12-2004;0.04;0.06;0.05;0.04;0.04;0.03;0.06;0.07;1.82;2.2;-2.063598676
6-12-2004;0.04;0.05;0.06;0.05;0.05;0.04;0.06;0.05;1.83;2.2;-2.063598676
7-12-2004;0.05;0.03;1.04;0.05;0.05;0.03;0.04;0.04;1.98;2.2;-2.063598676
8-12-2004;0.04;0.03;1.04;0.05;0.05;0.03;0.04;0.05;2.07;2.2;-2.063598676
9-12-2004;0.05;0.07;0.06;0.05;0.05;0.03;0.04;0.04;2.08;2.2;-2.063598676
10-12-2004;0.04;0.06;0.07;0.06;0.05;0.02;0.03;0.03;2.09;2.2;-2.063598676
13-12-2004;0.08;0.11;0.07;0.05;0.05;0.03;0.03;0.03;2.1;2.2;-2.063598676
14-12-2004;0.08;0.11;0.07;0.05;0.04;0.03;0.03;0.05;2.1;2.2;-2.063598676
15-12-2004;0.03;0.04;0.06;0.05;0.04;0.03;0.02;0.03;2.09;2.2;-2.063598676
16-12-2004;0.04;0.16;0.06;0.04;0.04;0.03;0.02;0.03;2.08;2.2;-2.063598676
17-12-2004;0.04;0.11;0.05;0.04;0.04;0.03;0.05;0.05;2.08;2.2;-2.063598676
20-12-2004;0.04;0.18;0.05;0.04;0.04;0.03;0.03;0.04;2.08;2.2;-2.063598676
21-12-2004;0.05;0.18;0.05;0.04;0.04;0.04;0.04;0.05;2.09;2.2;-2.063598676
22-12-2004;0.05;0.16;0.06;0.04;0.03;0.04;0.05;0.07;2.08;2.2;-2.063598676
23-12-2004;0.18;0.1;0.05;0.03;0.03;0.03;0.03;0.12;2.08;2.2;-2.063598676
24-12-2004;0.13;0.06;0.05;0.03;0.03;0.04;0.05;0.05;2.08;2.2;-2.063598676
27-12-2004;0.14;0.11;0.05;0.05;0.05;0.04;0.03;0.03;2.08;2.2;-2.063598676
28-12-2004;0.12;0.1;0.04;0.03;0.04;0.03;0.02;0.03;2.08;2.2;-2.063598676
29-12-2004;0.08;0.12;0.05;0.03;0.04;0.02;0.04;0.04;2.08;2.2;-2.063598676
30-12-2004;0.04;0.05;0.05;0.05;0.04;0.04;0.04;0.03;2.11;2.2;-2.063598676
31-12-2004;0.03;0.04;0.07;0.05;0.04;0.03;0.06;0.1;2.21;2.2;-2.063598676
3-1-2005;0.04;0.04;0.08;0.06;0.05;0.03;0.05;0.07;2.09;2;1.640251444
4-1-2005;0.04;0.04;0.04;0.05;0.04;0.03;0.03;0.03;2.09;2;1.640251444
5-1-2005;0.03;0.04;0.03;0.03;0.03;0.02;0.03;0.04;2.08;2;1.640251444
6-1-2005;0.03;0.03;0.06;0.04;0.03;0.02;0.06;0.08;2.08;2;1.640251444
7-1-2005;0.03;0.03;0.07;0.05;0.03;0.04;0.05;0.05;2.08;2;1.640251444
10-1-2005;0.02;0.03;2.06;0.05;0.04;0.04;0.04;0.05;2.09;2;1.640251444
11-1-2005;0.02;0.03;0.07;0.05;0.04;0.03;0.03;0.04;2.09;2;1.640251444
12-1-2005;0.03;0.03;0.04;0.04;0.04;0.03;0.04;0.05;2.08;2;1.640251444
13-1-2005;0.04;0.03;0.03;0.04;0.04;0.03;0.03;0.03;1.98;2;1.640251444
14-1-2005;0.05;0.05;0.03;0.04;0.04;0.04;2.03;0.04;1.97;2;1.640251444
17-1-2005;0.04;0.05;0.04;0.04;0.04;0.03;0.03;0.04;2.12;2;1.640251444
18-1-2005;0.04;0.05;0.04;0.04;0.04;0.03;0.05;0.04;2.14;2;1.640251444
19-1-2005;0.03;0.04;0.04;0.04;0.04;0.03;0.03;0.03;2.08;2;1.640251444
